0 0 10070 9063
1 0 1556 1606
2 0 1259 1381
3 0 1042 1213
4 0 1021 1033
5 0 918 1033
6 1 883 1016
7 2 900 1032
8 1 1054 1009
9 3 1108 967
10 1 1152 923
11 2 1367 997
12 0 1251 1076
13 3 1192 1244
14 0 1064 1493
15 3 939 1680
16 5 897 1741
17 0 914 1735
18 1 963 1631
19 3 1000 1165
20 0 1077 1034
21 18 1194 957
22 53 1022 904
23 67 1030 973
24 111 986 992
25 117 1067 1016
26 130 1064 978
27 151 1228 1158
28 161 1365 1215
29 136 1458 1354
30 174 1516 1776
31 197 1537 2617
32 224 1268 2985
33 234 1284 3270
34 286 1297 3694
35 290 1457 3997
36 285 1621 5791
37 265 1412 6387
38 237 1428 5760
39 264 1408 6148
40 244 1517 5173
41 272 1625 4108
42 246 1988 3351
43 282 2418 2774
44 249 2216 2535
45 271 2001 2223
46 235 2090 2000
47 278 2113 1863
48 283 1976 1796
49 273 2201 1833
50 309 2598 1811
51 325 2817 1742
52 311 2716 1761
53 309 2430 1866
54 324 2084 1843
55 352 1747 1909
56 416 1456 1857
57 446 1158 1902
58 503 1021 1780
59 481 908 1847
60 380 879 1731
61 390 775 1815
62 421 780 1808
63 415 684 1882
64 414 672 2014
65 423 671 2060
66 449 611 2084
67 435 594 2068
68 480 613 1936
69 413 552 1883
70 438 560 1918
71 448 617 2044
72 445 642 2345
73 465 670 2321
74 464 605 2701
75 465 657 2902
76 489 667 3166
77 513 569 3460
78 523 584 3417
79 583 540 3540
80 633 569 3597
81 637 513 3872
82 619 494 3777
83 623 496 3450
84 698 495 3036
85 609 508 2736
86 653 487 2476
87 709 481 2462
88 673 567 2121
89 655 526 1951
90 684 546 1887
91 679 517 1860
92 672 508 1734
93 674 527 1789
94 707 521 1583
95 750 535 1431
96 844 516 1429
97 901 499 1336
98 971 540 1291
99 1003 548 1215
100 1126 511 1146
101 1120 590 1112
102 1171 520 957
103 1282 591 862
104 1289 593 842
105 1591 572 813
106 1772 524 759
107 1989 518 719
108 2208 539 686
109 2412 597 633
110 2650 607 641
111 2778 530 595
112 2883 624 591
113 2792 610 585
114 2668 585 582
115 2497 551 558
116 2507 576 480
117 2538 565 472
118 2372 594 444
119 2378 581 438
120 2177 661 423
121 2088 578 405
122 2049 698 395
123 1912 673 407
124 1783 628 388
125 1945 617 415
126 1962 630 371
127 1947 646 363
128 1968 655 324
129 1868 619 336
130 1767 686 306
131 1792 667 360
132 1852 675 345
133 1720 703 317
134 1888 582 305
135 1785 669 314
136 1752 683 313
137 1751 642 328
138 1749 695 301
139 1817 698 322
140 1785 666 321
141 1796 684 320
142 1800 714 360
143 1691 755 292
144 1647 785 351
145 1841 799 300
146 1893 813 345
147 1837 782 325
148 1910 801 303
149 1826 843 296
150 1895 822 325
151 1764 920 321
152 1591 954 281
153 1524 970 323
154 1694 1000 277
155 1701 1084 318
156 1628 1134 307
157 1566 1104 256
158 1591 1195 259
159 1574 1164 287
160 1598 1246 294
161 1506 1248 259
162 1519 1380 283
163 1600 1347 260
164 1541 1347 298
165 1554 1322 263
166 1727 1377 268
167 1711 1382 259
168 1732 1460 288
169 1913 1425 282
170 1898 1368 282
171 1934 1349 257
172 2049 1454 228
173 2202 1547 243
174 2224 1731 235
175 2170 1813 239
176 2102 1961 233
177 2074 1798 240
178 2012 2038 232
179 2069 2413 188
180 2001 2438 235
181 2184 2178 230
182 2330 2074 234
183 2425 1912 194
184 2212 1928 215
185 2196 1824 208
186 2119 1802 211
187 2195 1826 221
188 2112 1837 224
189 2144 1933 209
190 2423 1911 208
191 2611 1934 208
192 2542 2130 220
193 3112 2055 194
194 3168 1820 161
195 3493 1765 152
196 3442 1759 144
197 3481 1707 128
198 4043 1718 147
199 3562 1869 153
200 3049 1906 145
201 2600 2153 146
202 2106 2146 162
203 1676 2526 143
204 1419 2547 124
205 1442 2827 111
206 1430 2581 112
207 1425 2042 106
208 1513 1607 108
209 1300 1320 105
210 1078 1346 100
211 890 1244 70
212 783 966 79
213 801 738 76
214 844 663 72
215 578 679 64
216 404 609 51
217 233 583 60
218 113 505 17
219 69 492 0
220 28 489 0
221 0 506 0
222 0 532 0
223 1 362 0
224 0 152 0
225 0 24 0
226 0 15 0
227 2 1 0
228 0 1 0
229 0 0 0
230 0 0 0
231 0 0 0
232 0 0 0
233 0 0 0
234 0 0 0
235 0 0 0
236 0 0 0
237 0 0 0
238 0 0 0
239 0 0 0
240 0 0 0
241 0 0 0
242 0 0 0
243 0 0 0
244 0 0 0
245 0 0 0
246 0 0 0
247 0 0 0
248 0 0 0
249 0 0 0
250 0 0 0
251 0 0 0
252 0 0 0
253 0 0 0
254 0 0 0
255 0 0 0
