0	2044	11154	10596
1	0	1556	1606
2	0	1195	1381
3	0	1042	1213
4	0	1021	1033
5	0	918	1034
6	0	895	1021
7	0	919	1033
8	0	1075	1007
9	0	1126	966
10	0	1161	924
11	0	1379	1014
12	0	1288	1120
13	0	1225	1302
14	0	1105	1620
15	0	984	1728
16	0	957	1787
17	0	932	1780
18	0	980	1650
19	3	1013	1194
20	1	1068	1073
21	18	1181	1017
22	57	1020	958
23	67	1042	1018
24	111	988	1065
25	117	1077	1088
26	130	1072	1070
27	152	1233	1223
28	158	1369	1276
29	136	1478	1419
30	170	1504	1834
31	198	1552	2643
32	230	1284	3068
33	242	1266	3362
34	292	1278	3721
35	302	1446	4032
36	288	1621	5775
37	267	1397	6271
38	243	1398	5692
39	274	1387	6091
40	260	1483	5138
41	283	1589	4073
42	259	1970	3341
43	305	2405	2767
44	269	2185	2510
45	301	1969	2220
46	242	2068	2015
47	293	2091	1872
48	305	1953	1805
49	277	2173	1823
50	311	2591	1827
51	327	2801	1750
52	328	2703	1769
53	329	2418	1861
54	334	2064	1857
55	377	1736	1933
56	438	1451	1876
57	465	1150	1949
58	535	1002	1800
59	523	876	1886
60	416	867	1783
61	426	764	1855
62	472	768	1832
63	487	687	1906
64	465	675	2042
65	470	670	2080
66	492	614	2088
67	489	587	2078
68	553	620	1931
69	490	557	1904
70	517	572	1920
71	559	631	2044
72	548	652	2365
73	584	697	2328
74	535	638	2733
75	519	687	2930
76	554	701	3173
77	629	579	3454
78	592	607	3406
79	613	575	3563
80	643	662	3608
81	639	597	3824
82	614	513	3749
83	613	493	3407
84	695	492	2974
85	601	508	2645
86	645	495	2425
87	680	485	2425
88	655	565	2063
89	640	519	1941
90	650	540	1852
91	680	519	1836
92	674	508	1705
93	671	525	1779
94	694	519	1534
95	731	537	1394
96	830	516	1371
97	897	495	1274
98	965	540	1236
99	1007	549	1184
100	1117	512	1125
101	1113	595	1093
102	1165	525	925
103	1279	599	852
104	1292	589	817
105	1581	567	802
106	1780	527	730
107	1972	521	715
108	2179	536	683
109	2392	590	625
110	2637	615	618
111	2752	532	568
112	2873	626	576
113	2792	610	584
114	2679	582	566
115	2499	552	545
116	2496	577	452
117	2519	569	461
118	2339	597	432
119	2352	580	423
120	2150	661	402
121	2061	579	385
122	2055	700	382
123	1893	678	382
124	1797	626	373
125	1949	621	391
126	1991	644	348
127	1990	655	358
128	2004	659	309
129	1899	632	318
130	1784	695	287
131	1803	691	352
132	1861	694	324
133	1727	715	314
134	1883	589	292
135	1797	680	295
136	1767	701	301
137	1788	652	306
138	1764	715	273
139	1845	705	307
140	1766	669	310
141	1793	717	298
142	1777	728	301
143	1688	815	264
144	1618	847	317
145	1821	824	275
146	1861	826	315
147	1831	785	304
148	1869	804	270
149	1781	846	273
150	1854	815	293
151	1717	923	288
152	1566	956	257
153	1511	961	292
154	1688	996	258
155	1700	1086	287
156	1645	1133	265
157	1551	1111	236
158	1569	1191	235
159	1570	1161	252
160	1601	1243	261
161	1517	1257	230
162	1517	1378	246
163	1593	1349	224
164	1541	1355	256
165	1562	1327	227
166	1707	1384	236
167	1668	1401	217
168	1724	1464	244
169	1889	1421	231
170	1889	1372	248
171	1930	1357	234
172	1996	1453	211
173	2158	1561	221
174	2195	1731	213
175	2155	1819	221
176	2106	1976	214
177	2022	1796	226
178	1990	2038	217
179	2004	2435	180
180	1938	2465	212
181	2091	2210	215
182	2220	2106	221
183	2309	1905	180
184	2087	1909	202
185	2035	1781	201
186	2004	1768	186
187	2070	1771	203
188	1982	1785	201
189	2066	1871	193
190	2348	1875	187
191	2544	1884	185
192	2483	2095	200
193	3001	1998	183
194	3024	1774	141
195	3365	1718	131
196	3272	1691	129
197	3306	1703	115
198	3801	1712	132
199	3478	1813	133
200	2989	1880	136
201	2540	2102	140
202	2043	2087	140
203	1625	2378	128
204	1387	2375	114
205	1401	2644	100
206	1390	2403	108
207	1399	1917	95
208	1483	1522	103
209	1276	1265	95
210	1061	1312	98
211	861	1221	70
212	771	947	77
213	794	717	75
214	839	657	70
215	576	673	63
216	399	602	50
217	231	580	60
218	111	494	16
219	67	479	0
220	26	480	0
221	0	501	0
222	0	531	0
223	0	362	0
224	0	150	0
225	0	22	0
226	0	15	0
227	0	1	0
228	0	0	0
229	0	0	0
230	0	0	0
231	0	0	0
232	0	0	0
233	0	0	0
234	0	0	0
235	0	0	0
236	0	0	0
237	0	0	0
238	0	0	0
239	0	0	0
240	0	0	0
241	0	0	0
242	0	0	0
243	0	0	0
244	0	0	0
245	0	0	0
246	0	0	0
247	0	0	0
248	0	0	0
249	0	0	0
250	0	0	0
251	0	0	0
252	0	0	0
253	0	0	0
254	0	0	0
255	0	0	0
